ID,Org_Name,Total_Networks_Searched,Total_Devices_Searched,Time_Frame_Start,Time_Frame_End,Reason,Search_Time,Search_Type,Moderation
23d55b89-42eb-4f5c-9281-f5e8bf4864be,Okaloosa County FL SO,840,17652,"11/13/2025, 10:00:17 PM UTC","11/14/2025, 10:00:17 AM UTC",bolo,"11/14/2025, 09:53:36 AM UTC",lookup,
5720871a-4c6d-4be1-a9c8-6f7524f871f9,Okaloosa County FL SO,840,17652,"11/13/2025, 10:30:13 PM UTC","11/14/2025, 10:30:13 AM UTC",bolo,"11/14/2025, 10:27:32 AM UTC",lookup,
50bac7fa-a41a-45de-86c8-622fcfa0a0f5,Okaloosa County FL SO,840,17652,"11/13/2025, 11:00:22 PM UTC","11/14/2025, 11:00:22 AM UTC",bolo,"11/14/2025, 10:48:23 AM UTC",lookup,
34d80330-0969-44fa-bddd-3db1228327fd,Okaloosa County FL SO,840,17652,"11/13/2025, 11:30:47 AM UTC","11/14/2025, 11:30:47 AM UTC",bolo,"11/14/2025, 11:02:06 AM UTC",lookup,
24daaa56-1fd2-4c15-8355-1adf89e0d5d6,Okaloosa County FL SO,840,17652,"11/14/2025, 12:00:14 AM UTC","11/14/2025, 12:00:14 PM UTC",bolo,"11/14/2025, 11:49:33 AM UTC",lookup,
0c8a8776-2441-4812-ba5e-fdfa89c08f56,Okaloosa County FL SO,6601,96316,"11/07/2025, 12:30:37 PM UTC","11/14/2025, 12:30:37 PM UTC",bowen,"11/14/2025, 12:13:45 PM UTC",lookup,
e9befaad-257d-4490-ac9d-e6df9364c08c,Okaloosa County FL SO,840,17652,"11/13/2025, 01:00:35 PM UTC","11/14/2025, 01:00:35 AM UTC",bolo,"11/14/2025, 12:37:55 AM UTC",lookup,
231728d2-89e0-4a86-98bf-46f810667778,Okaloosa County FL SO,840,17652,"11/13/2025, 01:30:51 PM UTC","11/14/2025, 01:30:51 AM UTC",bolo,"11/14/2025, 01:10:10 AM UTC",lookup,
7dd0c7c8-35ee-46d6-ae5f-e2bbcfaad588,Okaloosa County FL SO,840,17652,"11/13/2025, 01:30:40 PM UTC","11/14/2025, 01:30:40 AM UTC",bolo,"11/14/2025, 01:18:21 AM UTC",lookup,
b06cc297-9d63-4bf3-90dd-82da4343f0ea,Okaloosa County FL SO,840,16773,"10/15/2025, 05:00:00 AM UTC","11/14/2025, 05:59:59 AM UTC",Investigation,"11/14/2025, 01:44:19 AM UTC",lookup,
63c4b99e-a1b8-41d4-a106-464a979c5cd0,Okaloosa County FL SO,840,16773,"11/13/2025, 01:48:34 AM UTC","11/14/2025, 01:48:34 AM UTC",Missing,"11/14/2025, 01:48:37 AM UTC",lookup,
d1094811-67b1-433b-866c-d99317c7b0ab,Okaloosa County FL SO,840,16773,"11/07/2025, 01:48:38 AM UTC","11/14/2025, 01:48:38 AM UTC",Missing,"11/14/2025, 01:48:40 AM UTC",lookup,
5352acc4-e115-41e1-87e0-420c1d08ba6b,Okaloosa County FL SO,840,16773,"10/15/2025, 01:48:41 AM UTC","11/14/2025, 01:48:41 AM UTC",Missing,"11/14/2025, 01:48:44 AM UTC",lookup,
8521c578-4828-4c51-a229-23d6a79cffaa,Okaloosa County FL SO,1,104,"11/14/2025, 01:00:00 AM UTC","11/14/2025, 02:00:41 AM UTC",crash hit and run,"11/14/2025, 01:57:21 AM UTC",search,
abb0bc68-abc1-487a-8e3f-2b17d19e82a4,Okaloosa County FL SO,1,104,"11/14/2025, 12:00:00 AM UTC","11/14/2025, 01:30:00 AM UTC",crash hit and run,"11/14/2025, 02:00:25 AM UTC",search,
7689d39b-560a-4648-b843-79c490f87607,Okaloosa County FL SO,1,104,"11/11/2025, 03:30:21 PM UTC","11/13/2025, 03:30:21 PM UTC",Warrant,"11/13/2025, 03:01:26 PM UTC",lookup,
8184ff3f-93a4-4046-bec6-cb9fee1412c6,Okaloosa County FL SO,840,17639,"11/11/2025, 03:30:21 PM UTC","11/13/2025, 03:30:21 PM UTC",Warrant,"11/13/2025, 03:01:30 PM UTC",lookup,
e2d4e576-41ec-4373-b9f1-7a48b061ba12,Okaloosa County FL SO,840,17639,"11/11/2025, 03:30:32 PM UTC","11/13/2025, 03:30:32 PM UTC",Warrant,"11/13/2025, 03:01:34 PM UTC",lookup,
c67c17bf-3674-482a-824a-51470f9e193a,Okaloosa County FL SO,1,104,"11/13/2025, 01:30:34 PM UTC","11/13/2025, 03:30:34 PM UTC",Suspect Vehicle,"11/13/2025, 03:02:05 PM UTC",lookup,
da91abc2-6478-4699-8faf-48377bf6f973,Okaloosa County FL SO,1,104,"10/13/2025, 12:30:00 PM UTC","11/13/2025, 03:30:00 PM UTC",Suspect Vehicle,"11/13/2025, 03:02:32 PM UTC",lookup,
79a5ff87-cc15-4e10-9fab-7d7796af3e41,Okaloosa County FL SO,1,104,"10/14/2025, 03:30:39 PM UTC","11/13/2025, 03:30:39 PM UTC",Suspect Vehicle,"11/13/2025, 03:02:49 PM UTC",lookup,
b31a5436-9845-43a6-ac73-1cf7068542a1,Okaloosa County FL SO,1,104,"10/14/2025, 03:30:39 PM UTC","11/13/2025, 03:30:39 PM UTC",Suspect Vehicle,"11/13/2025, 03:02:56 PM UTC",lookup,
343958d9-151f-4390-b01c-d8c501c7adad,Okaloosa County FL SO,1,104,"10/14/2025, 03:30:39 PM UTC","11/13/2025, 03:30:39 PM UTC",Suspect Vehicle,"11/13/2025, 03:03:56 PM UTC",lookup,
6c83bc79-cbda-4ca8-8a4e-861c80ad04b3,Okaloosa County FL SO,1,104,"10/14/2025, 03:30:39 PM UTC","11/13/2025, 03:30:39 PM UTC",Suspect Vehicle,"11/13/2025, 03:07:23 PM UTC",lookup,
7235707b-4c89-46a7-af05-ee064f174920,Okaloosa County FL SO,840,17640,"11/14/2025, 10:30:08 AM UTC","11/14/2025, 10:30:08 PM UTC",25-136102,"11/14/2025, 10:09:29 PM UTC",lookup,
1757075e-7e0a-47e4-a5ae-bfcd5f3bfd9b,Okaloosa County FL SO,840,17640,"11/14/2025, 10:30:32 AM UTC","11/14/2025, 10:30:32 PM UTC",25-136102,"11/14/2025, 10:09:51 PM UTC",lookup,
6a70edbe-5b6e-4552-af62-b6fa3731fcfa,Okaloosa County FL SO,840,17640,"11/14/2025, 10:30:00 AM UTC","11/14/2025, 10:30:00 PM UTC",25-136102,"11/14/2025, 10:10:19 PM UTC",lookup,
f0840a8c-3206-45d1-9518-d387a2514f8a,Okaloosa County FL SO,840,17640,"11/14/2025, 10:30:19 AM UTC","11/14/2025, 10:30:19 PM UTC",warrant,"11/14/2025, 10:25:00 PM UTC",lookup,
b56f4564-2717-4941-afd7-f16b2a6aeb1f,Okaloosa County FL SO,840,17640,"11/12/2025, 10:30:15 PM UTC","11/14/2025, 10:30:15 PM UTC",warrant,"11/14/2025, 10:25:34 PM UTC",lookup,
f043fe73-b02b-456b-81fa-a20212ac40ed,Okaloosa County FL SO,840,17640,"11/12/2025, 10:30:41 PM UTC","11/14/2025, 10:30:41 PM UTC",warrant,"11/14/2025, 10:26:00 PM UTC",lookup,
33280f67-2b9e-42e1-9393-7143f30f1773,Okaloosa County FL SO,840,17640,"11/14/2025, 10:30:47 AM UTC","11/14/2025, 10:30:47 PM UTC",warrant,"11/14/2025, 10:27:07 PM UTC",lookup,
22b4585b-013a-4fc3-aed1-bdfee18dd91e,Okaloosa County FL SO,840,17640,"11/14/2025, 08:30:31 PM UTC","11/14/2025, 11:00:00 PM UTC",Warrant,"11/14/2025, 10:28:40 PM UTC",lookup,
8e9af764-2b15-4d48-8d82-790ed24af26b,Okaloosa County FL SO,840,17640,"11/14/2025, 08:00:00 PM UTC","11/14/2025, 11:00:00 PM UTC",Warrant,"11/14/2025, 10:29:49 PM UTC",lookup,
dcbe975d-3d0d-46bc-9e5e-e4229e4f1aaf,Okaloosa County FL SO,840,17640,"11/14/2025, 08:30:00 PM UTC","11/14/2025, 11:00:00 PM UTC",Warrant,"11/14/2025, 10:30:00 PM UTC",lookup,
417f23ca-45f0-4b50-b4ee-34c9367bf110,Okaloosa County FL SO,840,17640,"11/14/2025, 08:00:00 PM UTC","11/14/2025, 11:00:00 PM UTC",Warrant,"11/14/2025, 10:33:35 PM UTC",lookup,
913d4e45-515e-45ea-84fc-1a627098ff4f,Okaloosa County FL SO,840,17640,"11/14/2025, 08:30:00 PM UTC","11/14/2025, 11:00:00 PM UTC",Warrant,"11/14/2025, 10:35:35 PM UTC",lookup,
e14a4c56-f2fc-43b4-a9ab-4cd9aad7677f,Okaloosa County FL SO,1,104,"11/14/2025, 08:30:00 PM UTC","11/14/2025, 11:00:00 PM UTC",Warrant,"11/14/2025, 10:35:57 PM UTC",lookup,
64ab0ec6-5e76-4cb8-a572-a07fb9e76111,Okaloosa County FL SO,840,17640,"11/14/2025, 08:30:00 PM UTC","11/14/2025, 11:00:00 PM UTC",Warrant,"11/14/2025, 10:37:44 PM UTC",lookup,
cc407bd0-0b94-47ca-9653-a62c6d24eb6f,Okaloosa County FL SO,840,17640,"11/14/2025, 11:00:03 AM UTC","11/14/2025, 11:00:03 PM UTC",warrant,"11/14/2025, 10:42:23 PM UTC",lookup,
b095fac6-785f-4616-87b4-ff299f551f80,Okaloosa County FL SO,840,17640,"11/14/2025, 09:00:00 PM UTC","11/14/2025, 11:00:00 PM UTC",Warrant,"11/14/2025, 10:43:31 PM UTC",lookup,
e365dbb0-74f1-4d6f-a71b-c3776465f66c,Okaloosa County FL SO,1,104,"11/06/2025, 07:00:41 PM UTC","11/13/2025, 07:00:41 PM UTC",hit and run,"11/13/2025, 06:44:46 PM UTC",lookup,
fd961c93-fe08-47bf-96f7-91fd1a0f2631,Okaloosa County FL SO,1,104,"11/06/2025, 07:00:18 PM UTC","11/13/2025, 07:00:18 PM UTC",hit and run,"11/13/2025, 06:48:02 PM UTC",lookup,
03fbf38b-2f50-4946-8696-bcf7be2832fd,Okaloosa County FL SO,1,104,"10/14/2025, 07:00:09 PM UTC","11/13/2025, 07:00:09 PM UTC",hit and run,"11/13/2025, 06:48:11 PM UTC",lookup,
c9f66d1a-8675-47f0-8b63-d05858a0332d,Okaloosa County FL SO,1,104,"10/14/2025, 07:00:09 PM UTC","11/13/2025, 07:00:09 PM UTC",hit and run,"11/13/2025, 06:48:30 PM UTC",lookup,
c5b40dce-c486-4ade-b4c0-f70114a0cb2c,Okaloosa County FL SO,1,104,"10/14/2025, 07:00:09 PM UTC","11/13/2025, 07:00:09 PM UTC",hit and run,"11/13/2025, 06:49:05 PM UTC",lookup,
a4bb902a-4ad3-4843-adb6-f5e29a0b2feb,Okaloosa County FL SO,1,104,"11/14/2025, 04:00:03 PM UTC","11/14/2025, 06:00:03 PM UTC",theft,"11/14/2025, 09:12:32 PM UTC",lookup,
d5e9fcbf-ff75-4d9e-9a52-069ce8de9560,Okaloosa County FL SO,1,104,"11/14/2025, 07:30:04 PM UTC","11/14/2025, 09:30:04 PM UTC",theft,"11/14/2025, 09:13:30 PM UTC",lookup,
57443b76-a4ef-4e36-aa30-051703e371fa,Okaloosa County FL SO,1,104,"11/14/2025, 04:25:03 AM UTC","11/15/2025, 04:25:03 AM UTC",Inv,"11/15/2025, 04:25:03 AM UTC",lookup,
a493baf0-7227-4313-81bf-b1252f8f740f,Okaloosa County FL SO,840,16755,"11/08/2025, 04:25:12 AM UTC","11/15/2025, 04:25:12 AM UTC",Inv,"11/15/2025, 04:25:18 AM UTC",lookup,
77ff3b57-141d-4aec-b6f8-c8dab9c0f280,Okaloosa County FL SO,840,16755,"11/08/2025, 04:25:42 AM UTC","11/15/2025, 04:25:42 AM UTC",Inv,"11/15/2025, 04:25:49 AM UTC",lookup,
aee2e6f4-c27f-42de-b74d-b9480e6d8a1d,Okaloosa County FL SO,840,16755,"11/08/2025, 04:25:59 AM UTC","11/15/2025, 04:25:59 AM UTC",Inv,"11/15/2025, 04:26:08 AM UTC",lookup,
1cc03438-fe9b-4b3d-8774-5a4b2030466d,Okaloosa County FL SO,840,16755,"10/16/2025, 05:00:00 AM UTC","11/15/2025, 04:25:59 AM UTC",Inv,"11/15/2025, 04:26:48 AM UTC",lookup,
060b94f3-9bd9-4b00-8b65-4e9e1517b3fd,Okaloosa County FL SO,911,17640,"10/16/2025, 05:00:00 AM UTC","11/15/2025, 04:25:59 AM UTC",Inv,"11/15/2025, 04:27:12 AM UTC",lookup,
e5d8a8ed-9fd3-48d3-bdce-4fedf7437c5a,Okaloosa County FL SO,911,17640,"10/16/2025, 05:24:38 AM UTC","11/15/2025, 05:24:38 AM UTC",deputy request,"11/15/2025, 05:24:40 AM UTC",lookup,
d6c41c8e-4f91-47f1-8136-40d27b6a7b36,Okaloosa County FL SO,1,1,"11/15/2025, 05:45:48 AM UTC","11/15/2025, 06:00:48 AM UTC",Investigation,"11/15/2025, 06:01:11 AM UTC",search,
d1bc8cf5-2381-43d1-8e96-fcb9001c6f24,Okaloosa County FL SO,1,1,"11/15/2025, 05:47:18 AM UTC","11/15/2025, 06:02:18 AM UTC",Investigation,"11/15/2025, 06:02:22 AM UTC",search,
89b68ff6-5a70-434d-8b57-b9255f592bd3,Okaloosa County FL SO,1,1,"11/15/2025, 05:47:49 AM UTC","11/15/2025, 06:02:49 AM UTC",Investigation,"11/15/2025, 06:02:51 AM UTC",search,
8eb8e273-368b-4d67-9b70-f75c39558259,Okaloosa County FL SO,1,104,"11/14/2025, 05:30:40 PM UTC","11/14/2025, 07:30:40 PM UTC",MISSING ADULT,"11/14/2025, 07:25:51 PM UTC",lookup,
01193884-e9dd-4a49-a6ba-81f968f6f898,Okaloosa County FL SO,1,104,"11/12/2025, 08:00:37 PM UTC","11/14/2025, 08:00:37 PM UTC",Stolen,"11/14/2025, 07:35:38 PM UTC",search,
db53979e-f58b-4d28-9d63-412ad5cebef6,Okaloosa County FL SO,1,104,"11/12/2025, 08:00:37 PM UTC","11/14/2025, 08:00:37 PM UTC",Stolen,"11/14/2025, 07:35:53 PM UTC",lookup,
3c3f1d6d-ed66-4b78-906b-2dee4f10d183,Okaloosa County FL SO,1,104,"11/12/2025, 08:00:17 PM UTC","11/14/2025, 08:00:17 PM UTC",Stolen,"11/14/2025, 07:36:19 PM UTC",lookup,
