State,Organization Name,Network Count,Networks Shared With Me,Networks Im Sharing
FL,Polk County FL SO,4,"Polk County FL SO,Polk County FL SO (LR),Polk County FL SO - Axon,Polk County FL SO (Tech)",Okaloosa County FL SO
AL,Orange Beach AL PD,1,Orange Beach AL PD,Okaloosa County FL SO
AL,Hayden AL PD,1,Hayden AL PD,Okaloosa County FL SO
FL,Hillsborough County FL SO,3,"Hillsborough County FL SO (Flex),Hillsborough County Pierce Garage IB ,Hillsborough County FL SO",Okaloosa County FL SO
FL,Holmes County FL SO,1,Holmes County FL SO,Okaloosa County FL SO
FL,Venice FL PD,1,Venice FL PD,Okaloosa County FL SO
GA,Brookhaven GA PD,7,"Brookhaven Parks Ashford Forest (GA),Brookhaven Condor Demo,Brookhaven GA Parks (Condors),Brookhaven Parks (GA),Brookhaven GA PD (Condor),Brookhaven GA PD (LR),Brookhaven GA PD (Falcon)",
FL,Neptune Beach FL PD,1,Neptune Beach FL PD,Okaloosa County FL SO
FL,Treasure Island FL PD,1,Treasure Island FL PD,Okaloosa County FL SO
FL,Defuniak Springs FL PD,1,Defuniak Springs FL PD,Okaloosa County FL SO
GA,Rockmart GA PD,1,Rockmart GA PD,Okaloosa County FL SO
TX,Beaumont TX PD,3,"Lower Neches Valley Authority TX PD ,Beaumont TX PD (WingLPR),Beaumont TX PD",Okaloosa County FL SO
FL,Plant City FL PD,1,Plant City FL PD,Okaloosa County FL SO
TX,Texarkana TX PD,2,"Texarkana TX PD - Falcon Flex ,Texarkana TX PD",
GA,Lowndes County GA SO,1,Lowndes County GA SO,
FL,Walton County FL SO,1,Walton County FL SO,Okaloosa County FL SO
LA,Zachary LA PD,1,Zachary PD (LA),
GA,Dougherty County GA PD,2,"Dougherty County GA PD ,Dougherty County GA PD (Condors)",
FL,Port Saint Joe FL PD,1,Port Saint Joe FL PD,Okaloosa County FL SO
FL,Cape Coral FL PD,1,Cape Coral FL PD,Okaloosa County FL SO
GA,Dillard GA PD,1,Dillard GA PD,
GA,Kennesaw State University GA PD,1,Kennesaw State University,
GA,Rabun County GA SO,2,"Rabun County GA SO (Flex),Rabun County GA SO",
MS,Madison County MS SO,1,Madison County MS SO,
FL,Lake Hamilton FL PD,1,Lake Hamilton FL PD,Okaloosa County FL SO
FL,Lantana FL PD,2,"Lantana FL PD Flex,Lantana FL PD",Okaloosa County FL SO
GA,Cherokee County GA SO,2,"Cherokee County GA SO,Cherokee County GA SO (Flex)",Okaloosa County FL SO
GA,Lyons GA PD,1,Lyons GA PD,
FL,Clay County FL SO,3,"Clay County FL SO (Flex),Clay County FL SO (Condor),Clay County FL SO",Okaloosa County FL SO
FL,Glades County FL SO,2,"Glades County FL SO (Flex),Glades County FL SO",Okaloosa County FL SO
GA,Baldwin County GA SO,2,"Baldwin County GA SO,Baldwin County GA SO - RedSpeed",
GA,Villa Rica GA PD,1,Villa Rica GA PD,Okaloosa County FL SO
GA,Duluth GA PD,2,"Duluth GA PD,Duluth GA PD - RedSpeed",
FL,Gainesville FL PD,1,Gainesville FL PD,Okaloosa County FL SO
GA,Floyd County GA PD,3,"Floyd County GA PD - RedSpeed,Floyd County GA PD,Floyd County GA PD (Flex)",Okaloosa County FL SO
GA,Perry GA PD,3,"Perry GA PD,Perry GA PD (Flex),Perry GA PD - Redspeed",Okaloosa County FL SO
AL,Columbiana AL PD,1,Columbiana AL PD,
AL,Dothan AL PD,1,Dothan AL PD,
AL,Covington County AL SO,1,Covington County SO (AL),Okaloosa County FL SO
AR,Texarkana AR PD,1,Texarkana AR PD,
KY,Bullitt County KY SO,1,Bullitt County KY SO,
GA,Albany GA PD,4,"Albany GA PD,Albany GA PD Condor,Albany GA PD Raven,Albany GA PD - Wing LVI (Redspeed)",Okaloosa County FL SO
GA,Sugar Hill GA PD,2,"Sugar Hill GA PD (Flex),Sugar Hill GA PD",
IN,Anderson IN PD,1,Anderson IN PD,
GA,Crisp County GA SO,3,"Crisp County GA SO,Crisp County GA SO Condor,GA-Crisp County SO Wing",
FL,Lake Wales FL PD,1,Lake Wales FL PD,Okaloosa County FL SO
AL,Brent AL PD,1,Brent AL PD,
FL,Indian River County FL SO,2,"Indian River County FL SO (Flex),Indian River County FL SO",Okaloosa County FL SO
MI,Van Buren MI PD,1,Van Buren Township MI PD,
FL,Alachua FL PD,4,"Alachua FL PD (FLEX),Alachua FL PD (Condor),Alachua FL PD ,Alachua FL PD - Wing",Okaloosa County FL SO
FL,New Smyrna Beach FL PD,1,New Smyrna Beach FL PD,Okaloosa County FL SO
GA,Clayton County GA PD,2,"Clayton County GA PD (Redspeed),Clayton County GA PD",
GA,College Park GA PD,2,"College Park GA PD - Falcon,College Park PD - Flex",
GA,Bremen GA PD,1,Bremen GA PD,
GA,Carrollton GA PD,7,"Carrollton GA PD Raven,Carrollton GA PD,Carrollton PD (GA) Flex,Carrollton GA PD Condor,Carrollton GA PD - Wing Live,Carrollton GA PD - Tanner Street Parking Deck,Carrollton GA PD - Wing Gateway Partnership",
GA,Bulloch County GA SO,1,Bulloch County GA SO,
